Var1,sub,ch,x,y,z
111,EL011,LFP_R_07_STN_MT,14.1855,-12.4808,-5.35697
112,EL011,LFP_R_08_STN_MT,14.3701,-11.0705,-3.47644
113,EL012,ECOG_R_01_SMC_AT,39.437085481693444,-18.993972099205894,66.74889458119702
114,EL012,ECOG_R_02_SMC_AT,39.05939118269293,-8.816642937501653,65.11164919154903
115,EL012,ECOG_R_03_SMC_AT,36.40940048094078,3.191579220688738,62.52836701798403
116,EL012,ECOG_R_04_SMC_AT,35.14082219522923,12.939642692967775,60.99497275400209
117,EL012,ECOG_R_05_SMC_AT,32.92604921836899,22.459561650416944,58.124155919688974
118,EL012,LFP_R_01_STN_MT,11.3471,-14.7287,-7.6669
119,EL012,LFP_R_02_STN_MT,12.4917,-13.3657,-6.14828
120,EL012,LFP_R_03_STN_MT,11.254,-12.8207,-6.23861
121,EL012,LFP_R_04_STN_MT,11.7202,-13.6908,-5.42739
122,EL012,LFP_R_05_STN_MT,13.0267,-11.8935,-4.4241
123,EL012,LFP_R_06_STN_MT,12.0117,-11.3463,-4.52252
124,EL012,LFP_R_07_STN_MT,12.2572,-12.2102,-3.71674
125,EL012,LFP_R_08_STN_MT,12.9695,-10.215,-2.40814
126,EL013,ECOG_R_07_SMC_AT,17.26423891765748,-48.26885508294751,73.87654252844564
127,EL013,ECOG_R_08_SMC_AT,17.679595416343265,-42.00950920896998,75.95815343059868
128,EL013,ECOG_R_09_SMC_AT,21.512131193284606,-30.872490242389446,74.25178614099606
129,EL013,ECOG_R_10_SMC_AT,26.13336260316713,-19.426062164658784,72.64675355266806
130,EL013,ECOG_R_11_SMC_AT,27.778130896280487,-13.701894994157666,71.90674760362116
131,EL013,ECOG_R_12_SMC_AT,27.96142559169743,-2.080029721874679,68.11290851701315
132,EL013,LFP_R_01_STN_MT,11.0348,-14.4295,-8.4549
133,EL013,LFP_R_02_STN_MT,11.8688,-12.7773,-6.9822
134,EL013,LFP_R_03_STN_MT,11.3242,-13.5135,-6.25175
135,EL013,LFP_R_04_STN_MT,12.4348,-13.6532,-6.54969
136,EL013,LFP_R_05_STN_MT,12.6635,-11.6617,-5.11893
