iter	Passed	Remaining
0	159	4612
1	171	2403
2	186	1674
3	199	1297
4	211	1055
5	239	957
6	250	824
7	261	719
8	272	635
9	298	596
10	309	534
11	319	479
12	345	452
13	356	407
14	368	368
15	380	333
16	393	300
17	421	280
18	434	251
19	447	223
20	460	197
21	473	172
22	486	147
23	498	124
24	511	102
25	524	80
26	537	59
27	550	39
28	563	19
29	576	0
